id,state,district,city,lat,lon,street_name,road_type,time_of_day,day_of_week,crime_rate,lighting_level,crowd_density,cctv_count,distance_to_police_m,recent_reports,population_density_per_km2,safety_score,is_safe
41,Maharashtra,Mumbai,Mumbai,19.079047,72.972322,Bus Stand 970,Market Street,Afternoon,Wednesday,0.133,0.9,0.825,8,357,0,21451,89.22,safe
42,Maharashtra,Mumbai,Mumbai,18.983862,72.937582,Hospital Road 894,Market Street,Night,Tuesday,0.375,0.43,0.532,9,512,0,19852,52.08,medium
43,Maharashtra,Mumbai,Mumbai,19.072905,72.901351,School Street 774,College Area,Afternoon,Saturday,0.167,0.681,0.978,9,523,0,18100,87.46,safe
44,Maharashtra,Mumbai,Mumbai,19.040416,72.81999,Temple Street 409,College Area,Evening,Thursday,0.131,0.673,0.897,7,477,1,20932,73.95,safe
45,Maharashtra,Mumbai,Mumbai,19.088892,72.853455,Hospital Road 463,Residential,Afternoon,Tuesday,0.331,0.721,0.288,7,568,0,18932,62.52,medium
46,Maharashtra,Mumbai,Mumbai,19.033019,72.812375,College Road 347,Residential,Afternoon,Friday,0.32,0.5,0.603,8,405,2,21592,55.93,medium
47,Maharashtra,Mumbai,Mumbai,19.083007,72.873024,Shivaji Path 8,Residential,Morning,Tuesday,0.217,0.749,0.496,8,569,1,19683,69.29,medium
48,Maharashtra,Mumbai,Mumbai,19.002883,72.790375,College Road 928,Residential,Evening,Monday,0.179,0.54,0.714,9,1273,2,22664,55.55,medium
49,Maharashtra,Mumbai,Mumbai,19.174186,72.8187,Hospital Road 244,Highway,Night,Tuesday,0.267,0.631,0.287,13,802,0,22386,59.5,medium
50,Maharashtra,Mumbai,Mumbai,19.054489,72.94102,School Street 136,College Area,Night,Tuesday,0.28,0.346,0.299,9,519,1,19145,44.13,medium
51,Maharashtra,Mumbai,Mumbai,19.08457,72.864006,Bus Stand 827,Alley,Afternoon,Monday,0.451,0.412,0.268,8,2001,1,19022,34.13,not safe
52,Maharashtra,Mumbai,Mumbai,19.118813,72.876496,Main Street 675,Alley,Evening,Thursday,0.381,0.309,0.539,8,1054,0,21611,43.8,medium
53,Maharashtra,Mumbai,Mumbai,19.120007,72.90593,IT Park 479,College Area,Morning,Saturday,0.271,1.0,0.634,9,413,1,18503,82.99,safe
54,Maharashtra,Mumbai,Mumbai,19.027203,72.922919,Main Street 63,Alley,Evening,Sunday,0.206,0.262,0.531,7,917,0,18521,46.91,medium
55,Maharashtra,Mumbai,Mumbai,19.144088,72.959837,Main Street 255,Main Road,Afternoon,Friday,0.187,0.903,0.74,8,449,0,21938,87.52,safe
56,Maharashtra,Mumbai,Mumbai,19.096744,72.800553,Railway Station Road 144,Alley,Afternoon,Wednesday,0.287,0.605,0.363,5,2351,0,20888,46.27,medium
57,Maharashtra,Mumbai,Mumbai,19.009103,72.784476,Railway Station Road 256,Residential,Night,Sunday,0.364,0.33,0.0,6,856,3,21749,15.05,not safe
58,Maharashtra,Mumbai,Mumbai,19.017981,72.957311,School Street 101,Residential,Morning,Monday,0.188,0.643,0.318,9,1185,1,20485,62.37,medium
59,Maharashtra,Mumbai,Mumbai,19.129071,72.798296,Shivaji Path 171,Alley,Night,Thursday,0.273,0.128,0.0,6,1920,0,19109,16.41,not safe
60,Maharashtra,Mumbai,Mumbai,19.022215,72.912079,Nehru Road 886,Alley,Morning,Tuesday,0.422,0.398,0.373,4,2171,2,20031,27.75,not safe
61,Maharashtra,Mumbai,Mumbai,19.040798,72.795085,Commercial Complex 3,Alley,Evening,Sunday,0.466,0.427,0.55,5,1803,1,20047,31.18,not safe
62,Maharashtra,Mumbai,Mumbai,19.086409,72.864925,Railway Station Road 293,Alley,Night,Tuesday,0.417,0.171,0.0,7,1522,0,19343,16.66,not safe
63,Maharashtra,Mumbai,Mumbai,19.084327,72.904396,Nehru Road 304,Main Road,Morning,Friday,0.158,0.858,0.507,12,931,1,19032,80.19,safe
64,Maharashtra,Mumbai,Mumbai,18.978199,72.805077,School Street 63,College Area,Evening,Monday,0.24,0.912,1.0,7,719,0,22793,82.5,safe
65,Maharashtra,Mumbai,Mumbai,19.012874,72.795767,Station Road 599,Alley,Afternoon,Monday,0.307,0.621,0.435,6,1258,1,22207,47.73,medium
66,Maharashtra,Mumbai,Mumbai,19.145282,72.968747,Hospital Road 83,Main Road,Morning,Friday,0.263,0.937,0.543,9,260,0,22095,86.59,safe
67,Maharashtra,Mumbai,Mumbai,19.135883,72.916639,College Road 692,Main Road,Night,Monday,0.282,0.443,0.291,10,832,3,21186,37.27,not safe
68,Maharashtra,Mumbai,Mumbai,19.172115,72.958373,Shivaji Path 593,Market Street,Morning,Friday,0.245,0.935,0.954,7,566,1,21487,83.77,safe
69,Maharashtra,Mumbai,Mumbai,19.03547,72.962579,College Road 430,College Area,Evening,Wednesday,0.343,0.742,0.88,8,482,1,20022,70.45,safe
70,Maharashtra,Mumbai,Mumbai,19.090486,72.938495,Nehru Road 686,College Area,Evening,Tuesday,0.319,0.954,1.0,11,607,0,22373,86.25,safe
71,Maharashtra,Mumbai,Mumbai,19.081787,72.965514,Market Road 406,Main Road,Evening,Thursday,0.342,0.732,0.824,8,417,1,20336,70.44,safe
72,Maharashtra,Mumbai,Mumbai,19.035401,72.948264,Industrial Area 952,Residential,Morning,Thursday,0.012,0.767,0.642,5,536,1,20942,74.47,safe
73,Maharashtra,Mumbai,Mumbai,19.172466,72.95454,Main Street 76,Market Street,Afternoon,Friday,0.353,0.871,0.878,11,253,0,21897,86.48,safe
74,Maharashtra,Mumbai,Mumbai,19.046025,72.789269,Market Road 136,Highway,Morning,Tuesday,0.134,0.913,0.324,10,1236,0,22474,84.1,safe
75,Maharashtra,Mumbai,Mumbai,19.148025,72.869186,Housing Society 292,Main Road,Night,Sunday,0.071,0.528,0.309,9,847,0,19298,59.52,medium
76,Maharashtra,Mumbai,Mumbai,19.120684,72.876875,School Street 721,Highway,Morning,Saturday,0.197,0.898,0.534,9,592,0,22322,87.76,safe
77,Maharashtra,Mumbai,Mumbai,19.122782,72.881952,School Street 307,College Area,Morning,Tuesday,0.192,0.905,0.71,11,640,2,22129,79.86,safe
78,Maharashtra,Mumbai,Mumbai,19.001774,72.844724,Market Road 119,Residential,Afternoon,Wednesday,0.233,0.681,0.574,8,492,1,19883,67.06,medium
79,Maharashtra,Mumbai,Mumbai,18.977814,72.941436,Temple Street 620,Main Road,Evening,Tuesday,0.181,0.733,0.893,9,706,0,19504,81.72,safe
80,Maharashtra,Mumbai,Mumbai,19.117634,72.79117,Market Road 518,Alley,Evening,Sunday,0.297,0.169,0.645,5,1900,1,18328,31.22,not safe
81,Maharashtra,Mumbai,Mumbai,19.140303,72.852067,Station Road 95,College Area,Night,Sunday,0.173,0.623,0.552,9,697,1,19366,58.44,medium
82,Maharashtra,Mumbai,Mumbai,19.166173,72.807912,Market Road 46,Residential,Evening,Sunday,0.255,0.665,0.585,9,850,0,19065,65.92,medium
83,Maharashtra,Mumbai,Mumbai,18.982227,72.908033,Park Lane 653,Highway,Afternoon,Saturday,0.295,0.966,0.676,9,1802,0,18162,81.31,safe
84,Maharashtra,Mumbai,Mumbai,19.16017,72.90103,Railway Station Road 565,College Area,Night,Friday,0.227,0.541,0.666,7,579,0,20951,59.64,medium
85,Maharashtra,Mumbai,Mumbai,19.062649,72.97457,MG Road 115,Residential,Afternoon,Friday,0.248,0.632,0.359,7,928,0,22933,62.4,medium
86,Maharashtra,Mumbai,Mumbai,19.004499,72.877478,Station Road 855,Highway,Afternoon,Thursday,0.362,1.0,0.732,10,1663,1,19610,78.47,safe
87,Maharashtra,Mumbai,Mumbai,19.171493,72.817872,Park Lane 43,Highway,Evening,Sunday,0.292,0.905,0.715,11,686,3,21061,67.73,medium
88,Maharashtra,Mumbai,Mumbai,19.07288,72.909864,Station Road 921,Highway,Afternoon,Saturday,0.173,1.0,0.776,10,1221,0,20396,92.22,safe
89,Maharashtra,Mumbai,Mumbai,19.099148,72.843503,Shivaji Path 683,Residential,Evening,Sunday,0.427,0.58,0.572,7,996,0,20016,54.65,medium
90,Maharashtra,Mumbai,Mumbai,19.020112,72.86138,School Street 906,Alley,Afternoon,Tuesday,0.434,0.548,0.337,4,1430,1,22335,36.27,not safe
91,Maharashtra,Mumbai,Mumbai,19.091735,72.865423,Gandhi Chowk 820,Main Road,Night,Monday,0.209,0.778,0.155,10,487,1,21009,56.84,medium
92,Maharashtra,Mumbai,Mumbai,19.102508,72.85227,Gandhi Chowk 755,Highway,Night,Sunday,0.143,0.389,0.257,13,1155,0,21260,54.8,medium
93,Maharashtra,Mumbai,Mumbai,19.03843,72.857509,Shivaji Path 274,Main Road,Morning,Thursday,0.392,1.0,0.489,10,553,1,22742,78.25,safe
94,Maharashtra,Mumbai,Mumbai,19.026506,72.84955,Station Road 880,Alley,Afternoon,Tuesday,0.275,0.64,0.159,8,1748,1,22933,44.19,medium
95,Maharashtra,Mumbai,Mumbai,19.000594,72.823926,Railway Station Road 359,Highway,Afternoon,Tuesday,0.215,0.952,0.506,11,974,0,22759,85.6,safe
96,Maharashtra,Mumbai,Mumbai,19.103824,72.951284,MG Road 676,Main Road,Night,Wednesday,0.166,0.7,0.0,9,625,1,18941,50.89,medium
97,Maharashtra,Mumbai,Mumbai,19.122166,72.808933,Market Road 886,Residential,Evening,Wednesday,0.341,0.478,0.592,6,524,4,20885,35.94,not safe
98,Maharashtra,Mumbai,Mumbai,19.045715,72.809557,Hospital Road 410,College Area,Evening,Monday,0.25,0.589,1.0,7,691,0,19635,74.27,safe
99,Maharashtra,Mumbai,Mumbai,19.109519,72.939269,Main Street 899,Highway,Afternoon,Friday,0.272,1.0,0.793,9,992,1,20222,84.24,safe
100,Maharashtra,Mumbai,Mumbai,18.978933,72.895112,Market Road 40,Residential,Night,Wednesday,0.234,0.445,0.0,6,927,0,19900,36.47,not safe
101,Maharashtra,Mumbai,Mumbai,19.055765,72.893734,Industrial Area 447,Market Street,Morning,Thursday,0.503,0.873,0.902,8,343,2,18985,71.06,safe
102,Maharashtra,Mumbai,Mumbai,19.071837,72.816612,Nehru Road 261,Residential,Night,Monday,0.318,0.439,0.0,9,742,1,20067,34.22,not safe
103,Maharashtra,Mumbai,Mumbai,19.000377,72.81393,Hospital Road 948,Market Street,Afternoon,Wednesday,0.173,0.905,1.0,7,367,0,21165,90.1,safe
104,Maharashtra,Mumbai,Mumbai,19.166281,72.898022,IT Park 72,College Area,Evening,Friday,0.252,0.755,0.956,7,387,1,19510,74.0,safe
105,Maharashtra,Mumbai,Mumbai,19.122392,72.947935,Industrial Area 680,Residential,Evening,Friday,0.363,0.657,0.515,6,988,0,19151,55.89,medium
106,Maharashtra,Mumbai,Mumbai,19.017237,72.905292,Temple Street 683,Alley,Evening,Thursday,0.373,0.423,0.297,4,1527,3,18520,18.69,not safe
107,Maharashtra,Mumbai,Mumbai,19.120868,72.893377,Temple Street 568,Main Road,Afternoon,Thursday,0.182,0.93,0.713,10,693,0,19355,89.59,safe
108,Maharashtra,Mumbai,Mumbai,19.094562,72.913726,Commercial Complex 694,College Area,Afternoon,Friday,0.129,0.875,0.619,8,578,0,22788,84.49,safe
109,Maharashtra,Mumbai,Mumbai,19.011061,72.915701,Temple Street 416,Market Street,Morning,Wednesday,0.287,0.659,0.783,10,567,0,22962,81.69,safe
110,Maharashtra,Mumbai,Mumbai,19.1614,72.885691,Temple Street 216,Alley,Evening,Thursday,0.24,0.358,0.684,5,907,0,19136,48.39,medium
111,Maharashtra,Mumbai,Mumbai,19.044335,72.853882,Railway Station Road 453,College Area,Afternoon,Friday,0.108,0.828,1.0,8,759,0,22652,90.67,safe
112,Maharashtra,Mumbai,Mumbai,18.999273,72.94119,Bus Stand 813,College Area,Afternoon,Saturday,0.234,0.992,0.806,9,340,0,22878,90.7,safe
113,Maharashtra,Mumbai,Mumbai,19.104194,72.942196,College Road 291,Market Street,Evening,Monday,0.267,0.782,1.0,11,449,1,18399,78.29,safe
114,Maharashtra,Mumbai,Mumbai,19.131345,72.802107,Shivaji Path 689,Highway,Afternoon,Sunday,0.256,1.0,0.621,12,1159,0,18306,86.95,safe
115,Maharashtra,Mumbai,Mumbai,19.132152,72.86966,Nehru Road 151,Residential,Morning,Tuesday,0.275,0.666,0.308,8,642,2,21960,56.35,medium
116,Maharashtra,Mumbai,Mumbai,19.05696,72.908515,Bus Stand 626,Residential,Night,Thursday,0.23,0.438,0.0,9,860,2,21094,31.25,not safe
117,Maharashtra,Mumbai,Mumbai,19.0407,72.944561,Nehru Road 736,College Area,Night,Thursday,0.111,0.601,0.242,9,349,1,19879,55.29,medium
118,Maharashtra,Mumbai,Mumbai,19.054895,72.869589,Commercial Complex 250,Main Road,Morning,Sunday,0.144,0.928,0.731,8,726,1,21905,84.87,safe
119,Maharashtra,Mumbai,Mumbai,19.141026,72.87679,Main Street 798,Alley,Afternoon,Tuesday,0.235,0.284,0.455,8,944,1,18356,46.43,medium
120,Maharashtra,Mumbai,Mumbai,18.978422,72.969,Hospital Road 476,Residential,Afternoon,Sunday,0.234,0.67,0.695,8,591,2,18104,63.67,medium
121,Maharashtra,Mumbai,Mumbai,18.992434,72.971272,Main Street 468,Main Road,Night,Saturday,0.32,0.524,0.187,9,404,1,18626,46.72,medium
122,Maharashtra,Mumbai,Mumbai,19.070867,72.800491,Hospital Road 573,Market Street,Evening,Sunday,0.42,0.783,0.996,10,419,1,18818,73.8,safe
123,Maharashtra,Mumbai,Mumbai,19.030758,72.963364,Railway Station Road 628,College Area,Night,Sunday,0.225,0.754,0.268,7,618,1,18269,51.87,medium
124,Maharashtra,Mumbai,Mumbai,19.040012,72.928337,School Street 457,Main Road,Night,Thursday,0.334,0.629,0.142,12,305,2,20951,45.02,medium
125,Maharashtra,Mumbai,Mumbai,19.077672,72.83721,Market Road 770,Main Road,Evening,Sunday,0.401,0.862,0.949,12,569,0,20007,81.66,safe
126,Maharashtra,Mumbai,Mumbai,19.136014,72.818507,Hospital Road 497,College Area,Afternoon,Wednesday,0.32,1.0,0.909,9,691,0,21728,88.62,safe
127,Maharashtra,Mumbai,Mumbai,19.016496,72.969315,Railway Station Road 80,College Area,Evening,Tuesday,0.085,0.639,0.882,9,524,0,20063,81.94,safe
128,Maharashtra,Mumbai,Mumbai,19.115124,72.778344,Market Road 344,Highway,Morning,Tuesday,0.118,0.797,0.689,9,1081,0,21514,88.26,safe
129,Maharashtra,Mumbai,Mumbai,18.986561,72.87502,Park Lane 237,Alley,Afternoon,Saturday,0.491,0.656,0.251,8,1434,0,21677,46.52,medium
130,Maharashtra,Mumbai,Mumbai,19.023172,72.851984,Nehru Road 66,Alley,Night,Wednesday,0.369,0.227,0.132,8,2484,3,20827,6.25,not safe
131,Maharashtra,Mumbai,Mumbai,19.171929,72.810759,School Street 478,Alley,Morning,Tuesday,0.402,0.618,0.552,6,2231,0,22013,50.43,medium
132,Maharashtra,Mumbai,Mumbai,19.067637,72.874294,IT Park 399,Market Street,Morning,Sunday,0.343,0.797,1.0,7,251,2,19413,74.88,safe
133,Maharashtra,Mumbai,Mumbai,18.984919,72.784958,Commercial Complex 489,Residential,Evening,Wednesday,0.165,0.505,0.44,5,468,0,20662,57.63,medium
134,Maharashtra,Mumbai,Mumbai,19.058219,72.847169,Commercial Complex 874,Alley,Afternoon,Thursday,0.136,0.525,0.413,8,1236,1,20826,53.12,medium
135,Maharashtra,Mumbai,Mumbai,19.068786,72.972101,Shivaji Path 280,Alley,Night,Monday,0.168,0.266,0.0,4,2003,1,20291,14.61,not safe
136,Maharashtra,Mumbai,Mumbai,19.072939,72.810855,Commercial Complex 345,College Area,Night,Saturday,0.149,0.505,0.752,9,331,0,21931,67.04,medium
137,Maharashtra,Mumbai,Mumbai,19.016273,72.829424,Gandhi Chowk 861,Alley,Afternoon,Friday,0.282,0.405,0.418,8,2076,1,18470,42.02,medium
138,Maharashtra,Mumbai,Mumbai,19.044733,72.834186,School Street 28,Alley,Morning,Monday,0.492,0.576,0.231,7,1117,0,19783,46.17,medium
139,Maharashtra,Mumbai,Mumbai,19.127496,72.832988,IT Park 139,Alley,Afternoon,Monday,0.435,0.362,0.0,7,1661,1,19818,28.2,not safe
140,Maharashtra,Mumbai,Mumbai,19.122527,72.941776,Market Road 389,Highway,Afternoon,Thursday,0.306,1.0,0.506,11,1823,1,18829,74.83,safe
141,Maharashtra,Mumbai,Mumbai,19.152386,72.863198,Industrial Area 346,Alley,Evening,Sunday,0.449,0.609,0.587,8,2091,3,19271,30.49,not safe
142,Maharashtra,Mumbai,Mumbai,19.139851,72.953664,IT Park 259,Residential,Night,Monday,0.293,0.238,0.124,8,782,3,22207,20.73,not safe
143,Maharashtra,Mumbai,Mumbai,19.070257,72.973521,School Street 54,Highway,Afternoon,Saturday,0.11,1.0,0.423,12,1522,0,22331,85.55,safe
144,Maharashtra,Mumbai,Mumbai,19.019106,72.849776,College Road 800,College Area,Morning,Sunday,0.349,0.996,0.673,10,694,1,18554,81.42,safe
145,Maharashtra,Mumbai,Mumbai,19.065411,72.869772,MG Road 973,Main Road,Afternoon,Sunday,0.234,1.0,0.838,10,233,0,22553,94.58,safe
146,Maharashtra,Mumbai,Mumbai,19.126792,72.938681,MG Road 637,Main Road,Afternoon,Tuesday,0.214,0.856,0.963,8,898,0,18062,87.75,safe
147,Maharashtra,Mumbai,Mumbai,19.069754,72.837953,Bus Stand 686,Residential,Afternoon,Thursday,0.099,0.828,0.658,8,774,0,20656,80.02,safe
148,Maharashtra,Mumbai,Mumbai,19.14363,72.834758,Market Road 786,Highway,Afternoon,Friday,0.114,0.837,0.526,10,1360,0,18163,84.23,safe
149,Maharashtra,Mumbai,Mumbai,19.14971,72.790637,Main Street 797,Main Road,Evening,Monday,0.168,0.824,0.889,8,331,1,18658,79.69,safe
150,Maharashtra,Mumbai,Mumbai,19.022837,72.93505,MG Road 952,Highway,Night,Thursday,0.288,0.629,0.0,9,1259,0,18700,49.29,medium
151,Maharashtra,Mumbai,Mumbai,19.031363,72.972007,Nehru Road 78,Market Street,Afternoon,Monday,0.248,0.643,0.968,11,534,1,20314,79.33,safe
152,Maharashtra,Mumbai,Mumbai,19.063708,72.821402,Temple Street 871,College Area,Morning,Sunday,0.106,0.799,0.733,7,608,1,21511,80.91,safe
153,Maharashtra,Mumbai,Mumbai,19.174563,72.803998,Station Road 356,Market Street,Night,Saturday,0.199,0.349,0.23,11,520,0,21182,50.75,medium
154,Maharashtra,Mumbai,Mumbai,18.986227,72.829221,Housing Society 71,Market Street,Evening,Monday,0.112,0.714,0.908,8,448,0,22501,81.41,safe
155,Maharashtra,Mumbai,Mumbai,19.056848,72.841916,IT Park 843,Alley,Morning,Thursday,0.277,0.601,0.5,6,2285,1,22512,47.71,medium
156,Maharashtra,Mumbai,Mumbai,18.989289,72.884493,Housing Society 651,Alley,Afternoon,Thursday,0.463,0.33,0.303,4,1593,1,19936,28.45,not safe
157,Maharashtra,Mumbai,Mumbai,19.146368,72.85848,Gandhi Chowk 752,Market Street,Evening,Friday,0.278,0.62,1.0,10,562,1,21005,73.35,safe
158,Maharashtra,Mumbai,Mumbai,19.117117,72.915381,School Street 794,Alley,Night,Thursday,0.435,0.041,0.0,8,1679,1,19929,8.58,not safe
159,Maharashtra,Mumbai,Mumbai,19.134344,72.896898,Market Road 331,Main Road,Morning,Wednesday,0.342,0.911,0.927,11,977,0,19044,89.17,safe
160,Maharashtra,Mumbai,Mumbai,19.161127,72.86053,Railway Station Road 250,Alley,Night,Wednesday,0.534,0.0,0.0,8,1333,4,22805,0.0,not safe
161,Maharashtra,Mumbai,Mumbai,19.053896,72.854802,MG Road 507,Highway,Afternoon,Thursday,0.253,0.796,0.627,10,752,0,20537,84.09,safe
162,Maharashtra,Mumbai,Mumbai,19.111477,72.824707,Nehru Road 364,Highway,Evening,Wednesday,0.082,0.867,0.889,9,1370,2,20846,76.65,safe
163,Maharashtra,Mumbai,Mumbai,19.100132,72.817962,Market Road 570,Residential,Afternoon,Monday,0.213,0.739,0.897,7,904,1,18288,72.01,safe
164,Maharashtra,Mumbai,Mumbai,19.112151,72.871056,Shivaji Path 738,Alley,Night,Friday,0.18,0.152,0.098,7,1145,1,20556,22.13,not safe
165,Maharashtra,Mumbai,Mumbai,19.074465,72.893156,Shivaji Path 708,Alley,Night,Thursday,0.449,0.116,0.062,8,1307,1,19280,13.14,not safe
166,Maharashtra,Mumbai,Mumbai,18.982158,72.972007,MG Road 96,Highway,Afternoon,Thursday,0.349,1.0,0.471,10,1215,0,22022,80.88,safe
167,Maharashtra,Mumbai,Mumbai,19.031752,72.819841,Shivaji Path 314,College Area,Evening,Thursday,0.176,0.836,1.0,11,710,0,19995,87.07,safe
168,Maharashtra,Mumbai,Mumbai,19.12063,72.833767,School Street 544,Highway,Night,Saturday,0.272,0.697,0.0,12,1365,0,22210,52.44,medium
169,Maharashtra,Mumbai,Mumbai,19.024446,72.873352,School Street 339,Highway,Night,Wednesday,0.245,0.574,0.035,10,921,1,21202,48.09,medium
170,Maharashtra,Mumbai,Mumbai,19.171796,72.898399,Temple Street 258,Main Road,Morning,Saturday,0.284,1.0,0.504,8,893,0,20315,82.09,safe
